"TOTDAM","DEMANDED","TRIDAYS","BODINJ","DECORP","DEGOVT","YEAR","CLAIMTYPE","TOTALNOPL","TOTALNODE"
0,8000,3,1,0,0,4,1,2,1
385447,15030,7,0,1,0,3,6,1,1
59943,6500,4,1,0,0,3,1,1,1
13004,200000,3,1,1,0,4,1,2,3
0,8500,7,0,0,0,2,4,1,1
39416,16430,4,0,1,0,3,6,1,3
278284,50000,15,0,1,0,4,6,2,2
137349,42385,7,0,1,0,4,6,1,1
67395,1000000,4,1,0,1,4,1,1,2
1286,90000,2,1,0,0,4,1,1,1
763030,5000000,8,1,0,1,4,6,2,3
15507,100000,5,0,1,0,4,4,2,2
169000,500000,2,1,0,0,1,1,1,2
0,435000,6,1,1,0,5,6,1,2
129021,163136,4,0,1,0,4,6,2,3
0,650000,4,1,0,0,4,1,2,1
202054,14936,5,1,0,0,4,1,1,2
0,100000,3,0,1,0,5,4,1,2
0,184669,9,0,1,0,4,6,1,1
0,55460,1,0,1,0,4,6,1,1
458787,255079,2,0,1,0,4,5,1,1
0,204430,2,1,0,1,1,6,1,3
37999,26000,3,0,0,0,4,6,2,2
106264,135382,3,0,0,0,4,4,2,1
0,38090,2,0,1,0,5,6,1,3
12428,27428,6,0,0,0,5,6,1,2
20089,620000,2,0,0,0,4,6,2,2
0,325000,2,0,0,0,3,4,1,2
0,70000,1,0,0,0,4,6,1,1
189,70000,1,0,1,0,5,6,1,1
22611,15258,1,0,1,0,5,6,1,1
0,6551,1,0,1,0,3,6,1,1
15378,15000,1,0,0,0,4,6,1,1
64563,150000,3,0,1,0,1,6,1,1
248280,171627,1,0,1,0,5,6,1,1
97785,83782,1,0,1,0,5,6,1,3
22000,27000,1,1,0,0,5,6,2,1
97000,10000,2,0,1,0,5,4,1,2
188091,110595,2,0,1,0,4,6,1,2
41259,77155,2,0,0,0,4,6,1,2
8721,9605,3,1,0,0,5,1,3,2
34350,67000,3,0,0,0,4,4,1,1
0,5000000,3,1,1,0,4,6,1,3
2472163,2262371,3,0,0,0,4,4,1,3
75000,300000,3,0,0,0,3,4,2,3
76720,62221,1,0,1,0,5,6,1,3
12456,8647,1,0,0,0,4,6,1,2
70166,56831,1,0,1,0,5,4,1,3
146126,28460,1,0,1,0,1,5,1,3
4408,6636,1,0,1,0,4,6,1,3
0,400000,1,0,1,0,5,4,2,2
17879,13776,1,0,0,0,5,4,2,2
14788,64818,1,0,0,0,5,6,1,2
19448,66600,1,0,1,0,5,4,1,3
0,97058,1,0,0,0,5,4,2,2
9226,4727,1,0,1,0,4,6,1,3
51299,39607,1,0,0,0,4,6,1,2
0,36000,4,0,0,0,5,4,1,1
0,150000,1,0,0,0,5,6,1,1
0,47330,5,0,0,0,2,6,1,1
0,28902,2,0,1,0,5,6,1,1
146457,119552,2,0,1,0,3,6,1,2
55156,55922,1,0,1,0,5,6,1,3
7900,20633,1,0,1,0,4,6,1,3
283093,215881,1,0,1,0,5,6,1,1
297028,400000,1,0,1,0,5,6,1,2
0,28521,1,0,0,0,4,6,1,2
27568,35000,5,0,1,0,5,6,1,3
19209,17000,1,0,1,0,4,6,1,2
37236,180000,3,0,1,0,3,6,1,1
323000,129000,1,0,1,0,5,5,1,2
0,4706,7,0,0,0,1,6,1,1
87209,52471,1,0,0,0,5,6,1,1
74490,56544,1,0,1,0,6,5,1,2
111582,75000,1,0,0,0,5,4,1,1
44914,550000,1,0,0,0,5,4,1,1
0,27000,3,0,1,0,5,5,1,1
1447549,1750000,12,0,1,0,4,6,1,3
164550,100997,13,0,0,0,5,6,2,2
0,691499,28,0,1,0,2,6,2,3
0,42000,1,0,0,0,5,4,1,1
2110487,1935858,1,0,1,0,6,6,1,3
196368,176173,6,0,0,0,4,4,3,1
4000,5850,2,0,0,0,4,6,2,2
0,210670,1,0,0,0,5,6,1,1
6706,174950,2,0,1,0,5,4,1,2
0,2000000,2,0,1,0,4,4,2,1
80757,23063,1,0,0,0,4,4,2,1
292608,400000,8,0,1,0,5,6,1,1
186327,12760,9,0,0,0,5,6,3,3
143847,143847,16,0,1,0,5,6,2,3
215286,215000,5,0,1,0,5,6,1,2
4928,25000,9,1,0,0,5,1,1,1
285310,350000,13,0,0,0,5,4,1,2
4143250,3992758,12,0,1,0,5,6,1,1
36015,60000,5,0,1,0,5,4,2,2
522697,580012,7,0,1,0,5,6,1,3
52500,52500,7,0,0,0,5,6,1,2
3970000,1000000,15,1,1,0,5,6,1,3
153905,150000,8,0,0,0,5,4,1,2
4213171,14550000,13,1,1,0,5,6,2,1
30129,18440,6,0,1,0,5,4,2,1
0,269000,12,0,0,1,1,4,1,1
597292,267570,9,0,1,0,4,6,3,3
0,340000,10,0,1,0,4,6,1,3
330000,239548,15,0,1,0,4,3,3,3
710000,3000000,7,0,1,0,5,6,1,2
0,550000,3,0,1,0,4,5,1,2
216000,130000,12,0,0,1,4,6,1,2
473305,383913,8,0,1,0,4,6,1,2
229070,300000,8,0,1,0,4,6,2,1
84057,138000,17,0,1,0,4,6,1,1
0,70000,4,0,0,0,4,6,1,1
66000,1272000,7,0,1,0,5,4,1,1
34513,28712,1,0,1,0,5,6,1,2
2278304,2000000,6,0,1,0,5,6,1,3
131139,100000,6,0,0,0,5,6,1,1
70945,58816,2,0,1,0,5,6,1,1
0,8000000,11,0,0,0,5,6,1,3
0,34203,3,0,1,0,5,6,1,1
33481,30328,1,0,0,0,5,6,1,1
0,36183,2,0,1,0,5,6,1,1
387394,1344000,2,0,1,0,5,6,2,1
83038,68057,1,0,0,1,5,6,1,1
0,143000,2,0,0,0,5,6,1,2
1404,19500,2,0,0,0,5,6,1,1
0,153512,3,0,1,0,5,6,1,2
0,130000,1,0,0,0,5,6,1,1
36545,30179,1,0,1,0,5,6,1,1
480183,412830,2,0,0,0,5,6,3,1
0,27120,1,0,0,1,5,6,1,1
36629,30464,1,0,1,0,5,6,1,2
96689,65000,1,0,0,0,5,6,1,1
10350,35000,2,0,1,0,5,6,1,2
16078,50000,1,0,0,0,5,6,1,1
200455,401500,1,0,1,0,5,4,1,3
95476,64546,1,0,0,0,5,6,1,1
22600,25104,1,0,0,0,5,3,2,1
0,342500,4,0,1,0,5,6,1,3
10757,250000,2,0,1,0,5,6,2,1
0,1060000,3,0,1,0,5,6,1,3
20035,55000,2,0,1,0,5,6,1,2
113829,113383,1,0,1,0,5,6,2,2
63073,54733,8,0,1,0,5,6,1,3
50188,84472,3,0,1,0,3,3,1,3
0,1000000,2,0,1,0,3,4,1,3
132822,92500,2,0,1,0,5,4,3,3
0,10000000,3,0,0,0,5,6,1,2
41350,11100,1,0,1,0,6,5,1,3
104000,52000,1,0,0,0,6,4,2,2
65541,55368,2,0,0,0,5,6,1,1
43205,32850,1,0,1,0,5,6,1,3
0,85000,4,0,0,0,5,6,1,1
45513,39455,2,0,1,0,5,6,1,2
23269,5000000,1,0,0,0,5,6,3,1
0,25000,1,0,1,0,4,5,1,3
5087,95686,6,0,0,0,5,6,1,2
0,175000,2,0,1,0,5,6,1,3
51059,51517,1,0,0,1,5,6,1,1
84649,84428,1,0,1,0,5,6,1,2
79013,79013,1,0,0,0,5,5,1,1
11561,30282,2,0,0,0,5,6,1,1
32224,21609,2,0,0,0,5,6,1,2
76523,75120,2,0,1,0,6,6,1,1
0,24966,1,0,1,0,6,5,1,1
34870,29801,1,0,1,0,6,6,1,1
42734,26750,1,0,0,0,6,5,1,1
0,25760,2,0,0,0,6,5,1,1
0,27686,2,0,1,0,5,6,1,1
48758,58000,4,0,1,0,5,6,1,1
0,53118,2,0,0,1,5,6,1,2
0,200000,2,0,0,0,5,5,2,2
0,531230,2,0,0,0,4,6,1,1
34437,28112,1,0,0,0,5,6,1,1
3773,75570,1,0,1,0,5,6,1,2
72610,72610,1,0,1,0,5,6,1,2
0,7000,1,0,0,0,5,6,1,1
103641,41107,2,0,1,0,5,6,1,3
247,25000,3,0,0,0,5,6,3,2
84432,75516,1,0,1,0,5,5,1,2
1099454,930000,9,0,1,0,4,4,1,1
17125,145518,6,0,1,0,4,5,1,2
93654,74061,3,0,1,0,4,6,1,2
0,900000,4,0,0,0,4,6,2,2
45078,20000,3,0,1,0,4,6,2,3
0,25000,1,0,0,0,4,4,1,1
295588,247000,3,0,1,0,4,6,1,3
450000,500000,1,0,1,0,4,4,1,2
208980,5175000,7,0,1,0,4,4,2,3
0,30151,5,1,1,0,4,6,2,2
210000,141223,5,0,1,0,4,4,1,3
21432000,7800000,23,0,1,0,4,3,3,2
786293,1200000,16,0,1,0,4,6,2,3
0,522976,14,0,0,0,5,6,1,2
15118,25000,4,1,0,0,4,1,1,1
2292,25000,5,1,0,0,4,6,1,3
0,150000,2,1,0,0,4,1,3,1
146273,25000,8,0,0,0,4,5,1,2
9024,300000,12,0,1,0,4,6,1,3
0,305931,7,1,1,0,3,6,1,2
0,500000,10,0,1,0,2,6,3,1
167478,450000,7,1,1,0,2,3,1,3
125940,250000,6,1,1,0,3,1,2,2
1008371,1000000,4,0,1,0,4,6,1,1
0,250000,4,0,1,0,4,4,1,3
0,650000,4,1,1,0,4,2,2,1
38610182,9725000,39,0,1,0,4,6,1,3
0,214341,5,0,1,0,4,6,1,1
0,37128,5,0,1,0,5,6,1,1
348810,25000,8,1,0,1,5,2,1,1
0,400000,7,1,1,0,6,6,1,3
15455,26599,2,0,0,0,6,6,2,2
189840,240912,5,0,1,0,5,5,1,2
8872587,4000000,35,1,1,0,3,6,1,1
0,578000,5,1,0,0,3,3,1,2
118148,40000,4,1,0,0,4,1,1,1
65000,100000,4,0,1,0,4,6,1,3
411675,1011400,11,0,1,0,4,4,1,2
0,2000000,2,0,1,0,4,6,1,1
37400,15800,4,0,0,0,5,6,1,1
0,28707,1,0,1,0,5,6,1,1
88944,55516,2,0,0,0,5,6,1,1
165033,75000,8,0,0,0,5,4,1,2
160000,160000,2,0,1,0,5,4,1,2
0,105000,4,0,1,0,5,6,1,3
86301,121500,2,0,0,0,5,6,1,1
63059,55681,1,0,1,0,6,6,1,1
0,131150,5,0,1,0,5,5,1,3
0,6000000,7,0,1,0,5,4,1,1
186886,200000,1,0,0,0,5,4,2,1
454208,395649,1,0,1,0,5,6,1,3
0,1000000,1,0,0,0,5,6,1,1
14300,47895,1,0,0,0,5,5,1,1
43820,28800,2,0,0,0,5,6,1,2
56560,100000,2,0,0,0,5,6,1,1
1714,75000,1,0,1,0,4,6,1,3
61593,56581,1,0,0,0,4,6,1,1
227461,195101,1,0,1,0,4,6,1,1
485980,950000,1,0,1,0,4,6,1,3
0,300000,5,0,0,0,4,6,2,1
69254,543188,2,0,0,0,5,3,2,1
0,1435403,1,0,1,0,5,3,1,3
0,26898,1,0,1,0,5,6,1,1
55692,50000,1,0,0,0,5,6,1,1
0,250000,2,0,0,0,5,6,1,3
63403,29338,3,0,1,0,5,6,1,1
42404,30093,1,0,1,0,5,6,1,1
0,131403,4,0,0,0,5,6,2,3
63122,63122,1,0,1,0,5,6,1,1
56410,49056,1,0,1,0,5,5,1,2
26964,215000,3,0,0,0,5,3,1,1
16691,42569,3,0,1,0,4,6,1,3
0,130000,2,0,0,0,5,6,1,1
35590,38091,2,0,1,0,5,6,1,3
69500,111700,1,0,0,0,5,6,1,1
86577,98437,4,0,1,0,5,6,1,1
221832,374344,3,0,0,0,5,3,1,1
0,1000000,2,0,1,0,3,6,1,1
95695,58102,2,0,0,0,3,6,3,2
0,260000,2,0,1,0,5,6,1,1
109041,250000,2,0,1,0,5,6,1,2
1030,4200,1,0,1,0,5,6,1,1
94749,94000,1,0,1,0,5,3,1,3
55090,45116,1,0,1,0,5,6,1,2
0,23898,1,0,1,0,5,6,1,2
44968563,62000000,1,0,1,0,3,4,3,2
0,250000,5,1,0,0,2,3,1,1
86234,150000,6,0,1,0,3,5,1,1
0,200000,2,0,0,0,2,5,1,1
36616,500000,1,0,1,0,3,4,2,2
69254,150000,1,0,0,0,3,6,3,1
5482,50000,1,0,1,0,5,6,1,1
26314,26084,1,0,1,0,5,6,1,2
36870,33364,1,0,1,0,5,6,1,1
0,1802000,3,0,0,1,5,6,1,3
20015,15000,2,0,1,0,5,5,1,1
474323,304400,4,0,1,0,1,6,1,1
140514,25001,4,0,1,0,4,6,2,2
0,39788,2,0,0,0,4,6,1,1
0,25000,3,0,1,0,4,6,1,2
246455,209464,2,0,1,0,4,6,1,3
22250,37321,2,0,1,0,4,6,1,3
921895,600000,8,0,1,0,4,6,1,3
0,367800,4,0,1,0,4,4,2,2
280194,350000,3,0,1,1,4,6,1,3
141512,121110,1,0,0,0,4,6,1,1
49734,43714,3,0,1,0,4,6,1,2
18409,42820,3,0,0,0,5,6,3,1
29001,13200,1,0,0,0,5,6,1,1
501,135000,1,0,0,0,5,3,1,1
8561,184160,1,0,1,0,5,6,1,3
2000,150000,5,0,1,0,5,4,1,3
41209,40000,1,0,1,0,5,6,3,2
31775,36292,2,0,0,0,5,6,1,1
303126,411973,3,0,1,0,5,6,2,2
40514,36000,2,0,1,0,5,6,1,2
66307,66113,1,0,0,0,5,6,1,2
328562,273595,1,0,1,0,5,6,1,3
0,140000,1,0,1,0,5,4,2,1
25364,45661,1,0,0,0,5,6,1,1
0,213850,1,0,0,1,4,6,1,2
0,100000,2,0,1,0,4,5,1,2
24467,100000,1,1,1,0,4,6,1,1
0,50000,2,0,0,0,4,4,1,1
419503,400000,3,0,1,0,5,6,1,1
239883,240000,2,0,0,0,4,6,1,1
0,55000,1,0,0,0,4,6,1,1
0,136736,5,0,1,0,4,6,1,1
3500,2200000,7,0,1,0,4,4,1,2
275300,750000,7,1,1,0,4,2,1,3
0,750000,8,1,0,0,1,3,1,1
0,50000,1,1,1,0,4,1,2,2
19445,25729,2,0,1,0,5,6,1,3
3817,31235,1,0,0,0,5,6,1,2
16766,19408,2,0,1,0,5,6,3,1
